timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301905863045034 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301907382159416 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301908901266088 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301908901268848 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301954480127934 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301908901266088 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301910420357865 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301954480127934 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301908901266088 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301911939387193 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301954480127934 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301908901266088 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301913458444386 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301954480127934 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301908901266088 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301914977505432 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301954480127934 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301908901266088 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301916496585124 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301954480127934 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301908901266088 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301918015677315 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301954480127934 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301908901266088 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301919534735600 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301954480127934 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
